正字少一横，不作止字猜 (打一字),步
田中 (打一字),十
休要丢人现眼 (打一字),相
多一半 (打一字),夕
箭在弦 (打一字),引
旭日东升 (打一字),九
有心得志 (打一字),士
有目共睹 (打一字),者
有两个动物，一个在水里，一个在山上 (打一字),鲜
山上还有山 (打一字),出
一只狗四个口 (打一字),器
一边是红，一边是绿，一边怕风，一边怕雨 (打一字),秋
七人头上长了草 (打一字),花
九只鸟 (打一字),鸠
九号 (打一字),旭
九辆车 (打一字),轨
九点 (打一字),丸
人不在其位 (打一字),立
人有他则变大 (打一字),一
人无信不立 (打一字),言
一斗米 (打一字),料
一月七日 (打一字),脂
一加一 (打一字),王
一字十三点 (打一字),汁
一百减一 (打一字),白
一夜又一夜 (打一字),多
一个人搬两个圭 (打一字),佳
一个礼拜 (打一字),旨
一家十一口 (打一字),吉
一只牛 (打一字),生
十张口，一颗心 (打一字),思
说它小，下边大。说它大，上边小 (打一字),尖
一只黑狗，不叫不吼 (打一字),默
差一点六斤 (打一字),兵
家中添一口 (打一字),豪
自小在一起，目前少联系 (打一字),省
点点成金 (打一字),全
一人一张口，下面长只手 (打一字),拿
四面都是山，山山都相连 (打一字),田
种花要除草，一人来一刀 (打一字),化
存心不让出大门，你说烦人不烦人 (打一字),闷
一只狗，两个口，谁遇它谁发愁 (打一字),哭
皇帝新衣 (打一字),袭
一点水准 (打一字),淮
格外大方 (打一字),回
七十二小时 (打一字),晶
需要一半，留下一半 (打一字),雷
一月一日非今天 (打一字),明
综合门市 (打一字),闹
守门员 (打一字),闪
有人偷车 (打一字),输
半青半紫 (打一字),素
身残心不残 (打一字),息
千里丢一，百里丢一 (打一字),伯
一人 (打一字),大
一人在内 (打一字),肉
一人腰上挂把弓 (打一字),夷
一口吃掉牛尾巴 (打一字),告
一口咬定 (打一字),交
一大二小 (打一字),奈
八十八 (打一字),米
刀出鞘 (打一字),力
十一个读书人 (打一字),仕
十二点 (打一字),斗
十日十月 (打一字),朝
十个哥哥 (打一字),克
三口重叠，莫把品字猜 (打一字),目
三张纸 (打一字),顺
上下串通 (打一字),卡
上下难分 (打一字),卡
雷不雨 (打一字),田
大丈夫不得出头 (打一字),天
雨落在横山上 (打一字),雪
小姑娘 (打一字),妙
早不说，晚不说 (打一字),许
不要讲话 (打一字),吻
互吻 (打一字),吕
五十对耳朵 (打一字),陌
六十不足，八十有余 (打一字),平
公而忘私 (打一字),八
反比 (打一字),北
天上无二，合去一口，家家都有 (打一字),人
天天 (打一字),晦
夫人何处去 (打一字),二
太阳西边下，月儿东边挂 (打一字),明
心如刀刺 (打一字),必
手提包 (打一字),抱
文武双全 (打一字),斌
日复一日 (打一字),昌
水上工程 (打一字),汞
付出爱心 (打一字),受
兄有债 (打一字),歌
半个人 (打一字),伴
半个月亮 (打一字),胖
半真半假 (打一字),值
古时候的月亮 (打一字),胡
左有十八，右有十八，二四得八，一八得八 (打一字),樊
打断念头 (打一字),心
枯泉 (打一字),白
一字生得巧，四面八只腿 (打一字),井
